Genre,Entry,Film,Director,Leading actors,Year of cinema release,No of Oscars won,IMDB link,Guardian film page,Country,
Drama,22,Passion of Joan of Arc,Carl Theodor Dreyer,"Eugene Silvain, Maria Falconetti, Michael Simon, Michel Simon, Renee Falconetti",1928,,http://www.imdb.com/title/tt0019254/,http://www.guardian.co.uk/film/movie/81498/passion.of.joan.of.arc,France,
Drama,23,La Dolce Vita,Federico Fellini,"Anita Ekberg, Anouk Aimee, Marcello Mastroianni",1960,1,http://www.imdb.com/title/tt0053779/,http://www.guardian.co.uk/film/movie/76949/dolce.vita,Italy,
Drama,24,Breaking the Waves,Lars Von Trier,"Emily Watson, Katrin Cartlidge, Stellan Skarsgard",1996,,http://www.imdb.com/title/tt0115751/,http://www.guardian.co.uk/film/movie/64085/breaking-the-waves,Denmark,
Drama,25,Spirit of the Beehive,Victor Erice,"Ana Torrent, Fernando Fernan, Fernando Fernan Gomez, Fernando Fernan Gomez, Isabel Telleria",1973,,http://www.imdb.com/title/tt0070040/,http://www.guardian.co.uk/film/movie/76634/spirit.of.the.beehive,Spain,
Sci-fi,1,2001,Stanley Kubrick,"Daniel Richter, Gary Lockwood, Keir Dullea, William Sylvester",1968,1,http://www.imdb.com/title/tt0062622/,http://www.guardian.co.uk/film/movie/36269/2001,USA,
Sci-fi,2,Metropolis,Fritz Lang,"Alfred Abel, Brigitte Helm, Gustav Frohlich, Gustav Fruhlich",1927,,http://www.imdb.com/title/tt0017136/,http://www.guardian.co.uk/film/movie/75782/metropolis,Germany,
Sci-fi,3,Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young",1982,,http://www.imdb.com/title/tt0083658/,http://www.guardian.co.uk/film/movie/76627/blade-runner,USA,
Sci-fi,4,Alien,Ridley Scott,"Ian Holm, John Hurt, Sigourney Weaver, Tom Skerritt",1979,1,http://www.imdb.com/title/tt0078748/,http://www.guardian.co.uk/film/movie/75860/alien,USA,
Sci-fi,5,The Wizard of Oz,Victor Fleming,"Bert Lahr, Frank Morgan, Jack Haley, Judy Garland, Ray Bolger",1939,2,http://www.imdb.com/title/tt0032138/,http://www.guardian.co.uk/film/movie/36148/wizard.of.oz,USA,
Sci-fi,6,ET,Steven Spielberg,"Dee Wallace, Drew Barrymore, Henry Thomas, Peter Coyote",1982,4,http://www.imdb.com/title/tt0083866/,http://www.guardian.co.uk/film/movie/92910/e.t.the.extra-terrestrial,USA,
Sci-fi,6,Solaris, Andrei Tarkovsky,"Donatas Banionis, Juri Jarvet, Nataly Bondarchuk, Natalya Bondarchuk",1972,,http://www.imdb.com/title/tt0069293/,http://www.guardian.co.uk/film/movie/76558/solaris,USA,
Sci-fi,8,Spirited Away,Hayao Miyazaki,"Daveigh Chase, Jason Marsden, Jason Marsdon, Mari Natsuki, Miyu Irino, Rumi Hiragi, Suzanne Pleshette",2001,1,http://www.imdb.com/title/tt0245429/,http://www.guardian.co.uk/film/movie/96263/spirited.away,Japan,
Sci-fi,9,Star Wars  (1977),George Lucas,"Alec Guinness, Carrie Fisher, David Prowse, Harrison Ford, Mark Hamill, Peter Cushing, Peter Mayhew",1977,6,http://www.imdb.com/title/tt0076759/,http://www.guardian.co.uk/film/movie/36316/star.wars,USA,
Sci-fi,10,Close Encounters,Steven Spielberg,"Melinda Dillon, Richard Dreyfuss",1977,1,http://www.imdb.com/title/tt0075860/,http://www.guardian.co.uk/film/movie/36315/close-encounters-of-the-third-kind,USA,
Sci-fi,10,King Kong,"Ernest B Schoedsack, Merian C Cooper","Bruce Cabot, Ernest B Schoedsack, Fay Wray, Frank Reicher, James Flavin, John Armstrong, Noble Jhonson, Robert Armstrong",1933,,http://www.imdb.com/title/tt0024216/,http://www.guardian.co.uk/film/movie/36134/king.kong,USA,
Sci-fi,12,Terminator/Terminator 2,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn",1984/1991,4 altogether,http://www.imdb.com/title/tt0088247/,http://www.guardian.co.uk/film/movie/88018/terminator,USA,
Sci-fi,13,The Matrix,Andy & Larry Wachowski,"Carrie-Anne Moss, Keanu Reeves, Laurence Fishburne",1999,4,http://www.imdb.com/title/tt0133093/,http://www.guardian.co.uk/film/movie/77528/matrix,USA,
Sci-fi,14,Alphaville,Jean Luc-Godard,"Anna Karina, Eddie Constantine",1965,,http://www.imdb.com/title/tt0058898/,http://www.guardian.co.uk/film/movie/75764/alphaville,France,
Sci-fi,15,Back to the Future,Robert Zemeckis,"Christopher Lloyd, Crispin Glover, Lea Thompson, Michael J Fox, Michael J. Fox",1985,1,http://www.imdb.com/title/tt0088763/,http://www.guardian.co.uk/film/movie/78042/back-to-the-future,USA,
Sci-fi,16,Planet of the Apes,Franklin J Schaffner ,"Charlton Heston, Kim Hunter, Roddy McDowell",1968,1,http://www.imdb.com/title/tt0063442/,http://www.guardian.co.uk/film/movie/95819/planet-of-the-apes,USA,
Sci-fi,17,Brazil,Terry Gilliam,"Jonathan Pryce, Michael Palin, Robert De Niro",1985,,http://www.imdb.com/title/tt0088846/,http://www.guardian.co.uk/film/movie/79920/brazil,UK,
Sci-fi,18,The Lord of the Rings trilogy,Peter Jackson,"Cate Blanchett, Dominic Monaghan, Elijah Wood, Hugo Weaving, John Rhys-Davies, Liv Tyler, Miranda Otto, Orlando Bloom, Sean Astin, Sir Ian McKellen, Viggo Mortensen, William Boyd",2001-2003,17 altogether,http://www.imdb.com/title/tt0167260/,http://www.guardian.co.uk/film/movie/92716/lord.of.the.rings,New Zealand,
Sci-fi,19,Dark Star,John Carpenter,"Brian Narelle, Dan O'Bannon, Dre Pahich",1974,,http://www.imdb.com/title/tt0069945/,http://www.guardian.co.uk/film/movie/77501/dark-star,USA,
Sci-fi,20,Day the Earth Stood Still,Robert Wise,"Hugh Marlowe, Lock Martin, Michael Rennie, Patricia Neal",1951,,http://www.imdb.com/title/tt0043456/,http://www.guardian.co.uk/film/movie/82253/day-the-earth-stood-still,USA,
Sci-fi,21,Edward Scissorhands,Tim Burton,"Dianne Wiest, Johnny Depp, Winona Ryder",1990,,http://www.imdb.com/title/tt0099487/,http://www.guardian.co.uk/film/movie/82335/edward.scissorhands,USA,
Sci-fi,22,Akira,Katsuhiro Otomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessho Genda",1988,,http://www.imdb.com/title/tt0094625/,http://www.guardian.co.uk/film/movie/76882/akira,Japan,
Sci-fi,23,Princess Bride,Rob reiner,"Billy Crystal, Carty Elwes, Cary Elwes, Mandy Patinkin, Peter Falk, Robin Wright",1987,,http://www.imdb.com/title/tt0093779/,http://www.guardian.co.uk/film/movie/77070/princess-bride,USA,
Sci-fi,24,Pan's Labyrinth,Guillermo del Toro," Ariadna Gil, Doug Jones, Ivana Baquero, Maribel Verdu, Sergi Lopez",2006,3,http://www.imdb.com/title/tt0457430/,http://www.guardian.co.uk/film/movie/112345/pan.s.labyrinth,Spain,
Sci-fi,25,Starship Troopers,Paul Verhoeven,"Casper Van Dien, Clancy Brown, Dina Meyer, Jake Busey, Michael Ironside",1997,,http://www.imdb.com/title/tt0120201/,http://www.guardian.co.uk/film/movie/71806/starship-troopers,USA,
Horror,1,Psycho,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles",1960,,http://www.imdb.com/title/tt0054215/,http://www.guardian.co.uk/film/movie/34630/psycho,USA,
Horror,2,Rosemary's Baby,Roman Polanski,"John Cassavetes, Mia Farrow, Ruth Gordon",1968,1,http://www.imdb.com/title/tt0063522/,http://www.guardian.co.uk/film/movie/80947/rosemary-s-baby,USA,
Horror,3,Don't Look Now,Nicholas Roeg,"Donald Sutherland, Hilary Mason, Julie Christie",1973,,http://www.imdb.com/title/tt0069995/,http://www.guardian.co.uk/film/movie/35097/don.t.look.now,UK,
Horror,4,The Wicker Man,Robin Hardy,"Britt Ekland, Christopher Lee, Edward Woodward",1973,,http://www.imdb.com/title/tt0070917/,http://www.guardian.co.uk/film/movie/36301/wicker.man,UK,
Horror,5,The Shining,Stanley Kubrick,"Danny Lloyd, Jack Nicholson, Shelley Duval",1980,,http://www.imdb.com/title/tt0081505/,http://www.guardian.co.uk/film/movie/76626/shining,USA,
Horror,6,The Exorcist,William Friedkin,"Ellen Burstyn, Linda Blair, Max von Sydow",1973,2,http://www.imdb.com/title/tt0070047/,http://www.guardian.co.uk/film/movie/86477/exorcist,USA,
Horror,7,Nosferatu  (1922),FW Mernau,"Alexander Granach, Greta Schroder, Gustav von Wangenheim, Max Schreck",1922,,http://www.imdb.com/title/tt0013442/,http://www.guardian.co.uk/film/movie/75839/nosferatu,Germany,
Horror,8,Let the Right One In,Tomas Alfredson," Henrik Dahl, Kare Hedebrant, Karin Bergquist, Lina Leandersson, Per Ragnar, Peter Carlberg",2008,,http://www.imdb.com/title/tt1139797/,http://www.guardian.co.uk/film/movie/125671/let-the-right-one-in,Sweden,
Horror,9,Vampyr,Carl Theodor Dreyer,"Henriette Gérard, Henriette Gerard, Julian West, Sybille Schmitz",1932,,http://www.imdb.com/title/tt0023649/,http://www.guardian.co.uk/film/movie/80562/vampyr,Germany,
Horror,10,Peeping Tom,Michael Powell,"Anna Massey, Carl Boehm, Esmond Knight, Karl Bohm, Maxine Audley, Moira Shearer",1960,,http://www.imdb.com/title/tt0054167/,http://www.guardian.co.uk/film/movie/36228/peeping-tom,UK,
Horror,11,The Innocents,Jack Clayton,"Clytie Jessop, Deborah Kerr, Michael Redgrave, Peter Wyngarde",1961,,http://www.imdb.com/title/tt0055018/,http://www.guardian.co.uk/film/movie/77279/innocents,USA,
Horror,12,Ringu,Hideo Nakata,"Nanako Matsushima, Hiroyuki Sanada,  Rikiya Otaka",1998,,http://www.imdb.com/title/tt0178868/,http://www.guardian.co.uk/film/movie/121191/ringu,Japan,
Horror,13,The Haunting,Robert Wise,"Claire Bloom, Julie Harris, Richard Johnson",1963,,http://www.imdb.com/title/tt0057129/,http://www.guardian.co.uk/film/movie/99697/haunting,USA,
Horror,14,Texas Chainsaw Massacre,Tobe Hooper," Edwin Neal, Jim Siedow, Marilyn Burns, Paul A Partain",1974,,http://www.imdb.com/title/tt0072271/,http://www.guardian.co.uk/film/movie/82763/texas-chainsaw-massacre,USA,
Horror,15,Dead of Night,"Alberto Cavalcanti, Charles Crichton","Googie Withers, Mervyn Johns, Michael Redgrave",1945,,http://www.imdb.com/title/tt0037635/,http://www.guardian.co.uk/film/movie/79561/dead.of.night,UK,
Horror,16,The Cabinet of Dr Caligari,Robert Wiene,"Conrad Veidt, Lil Dagover, Werner Krauss",1920,,http://www.imdb.com/title/tt0010323/,http://www.guardian.co.uk/film/movie/77300/cabinet-of-dr-caligari,Germany,
Horror,17,Halloween,John Carpenter,"Donald Pleasance, Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, Tony Moran",1978,,http://www.imdb.com/title/tt0077651/,http://www.guardian.co.uk/film/movie/104810/halloween,USA,
Horror,18,Bride of Frankenstein,James Whale,"Boris Karloff, Colin Clive, Elsa Lanchester",1935,,http://www.imdb.com/title/tt0026138/,http://www.guardian.co.uk/film/movie/34577/bride-of-frankenstein,USA,
Horror,19,Les Diaboliques,Henri-Georges Clouzot,"Paul Meurisse, Simone Signoret, Vera Clouzot",1955,,http://www.imdb.com/title/tt0046911/,http://www.guardian.co.uk/film/movie/75862/diaboliques,France,
Horror,20,Audition,Miike Takashi,"Eihi Shiina, Ishibashi Renji, Ishibashi Ryo, Matsuda Miyuki, Renji Ishibashi, Ryo Ishibashi, Shiina Eihi",1999,,http://www.imdb.com/title/tt0235198/,http://www.guardian.co.uk/film/movie/84815/audition,Korea,
Horror,20,Dracula   (1958),Terence Fisher,"Christopher Lee, Melissa Stribling, Michael Gough, Peter Cushing",1958,,http://www.imdb.com/title/tt0051554/,http://www.guardian.co.uk/film/movie/36215/dracula,UK,
Horror,22,The Blair Witch Project,"Daniel Myrick, E Sanchez","Heather Donahue, Joshua Leonard, Michael C. Williams",1999,,http://www.imdb.com/title/tt0185937/,http://www.guardian.co.uk/film/movie/79459/blair.witch.project,USA,
Horror,23,Evil Dead/Evil Dead II,Sam Raimi,"Betsy Baker, Bruce Campbell, Ellen Sandweiss",1981/ 1987,,http://www.imdb.com/title/tt0083907/,http://www.guardian.co.uk/film/movie/34582/evil-dead,USA,
Horror,24,Carrie,Brian De Palma,"John Travolta, Piper Laurie, Sissy Spacek",1976,,http://www.imdb.com/title/tt0074285/,http://www.guardian.co.uk/film/movie/81489/carrie,USA,
Horror,25,Les Vampires (1915),Louis Feuillade,"Edouard Mathe, Marcel Levesque",1915,,http://www.imdb.com/title/tt0006206/,http://www.guardian.co.uk/film/movie/117077/vampires,France,
